FlightID,Date,Route,Airline,AircraftType,FlightDuration,DepartureTime,Passengers,WeatherCondition,FlightClass,TicketType,DestinationRegion,LoyaltyProgram,MaintenanceIssues,CrewSatisfaction,CustomerSatisfaction,Weekday,PeakSeason,DelayMinutes,OnTimeArrival,FuelCost
FLT00001,2022-04-13,Berlin to Madrid,SkyTrack Airways,Boeing 787,381,5,238.79999999999998,Snow,First,Refundable,Domestic,0,4,7.020459835007658,4.831007213345236,Wednesday,0,0,Yes,1674.21
FLT00002,2023-03-12,New York to London,Sunshine Air,Boeing 787,509,20,41.4,Fog,Business,Non-refundable,Regional,0,4,8.783615342808316,3.876109508531417,Sunday,0,5,Yes,1840.55
FLT00003,2024-05-10,Chicago to Los Angeles,Sunshine Air,Airbus A380,533,7,202.79999999999998,Clear,Business,Non-refundable,Domestic,0,0,7.430888083089037,,Friday,0,100,No,1716.88
FLT00004,2022-09-28,Chicago to Los Angeles,Sunshine Air,Airbus A380,72,18,89.39999999999999,Snow,Economy,Non-refundable,Regional,0,4,8.212304178729449,3.157784344626582,Wednesday,0,28,No,665.57
FLT00005,2022-04-17,Singapore to Bangkok,BlueJet Airlines,Boeing 737,243,21,180.6,Rain,Business,Refundable,Regional,0,4,7.574141030030158,2.630842602388479,Sunday,0,35,No,1154.04
FLT00006,2022-03-13,Berlin to Madrid,SkyTrack Airways,Boeing 787,170,20,75.6,Snow,Economy,Refundable,Domestic,0,1,8.751755135626945,9.131782347850388,Sunday,0,0,Yes,851.37
FLT00007,2023-12-02,Toronto to Vancouver,Sunshine Air,Boeing 787,567,23,110.39999999999999,Fog,First,Non-refundable,Regional,1,2,7.799136170242042,5.328750368777075,Saturday,1,53,No,1794.81
FLT00008,2022-01-21,New York to London,Sunshine Air,Boeing 777,349,19,133.2,Snow,Economy,Refundable,Regional,0,3,8.720103871826392,4.05154481599877,Friday,0,10,Yes,1454.86
FLT00009,2023-09-07,Beijing to Sydney,Global Wings,Airbus A380,354,7,150.0,Fog,First,Refundable,Domestic,1,1,8.60113516171309,7.0225043517436845,Thursday,0,65,No,1200.91
FLT00010,2022-05-02,New York to London,SkyTrack Airways,Boeing 737,510,13,159.6,Snow,Business,Refundable,Regional,0,1,7.535943362675075,8.934980593833146,Monday,0,0,Yes,1723.37
